"","Site_ID","Day","Month","Year","Round","Plot","Plant.genus","Plant.species","Flower.abundance"
"355","La cuña",30,3,2015,4,8,"Halimium ","commutatum",20
"356","La cuña",30,3,2015,4,8,"Cistus ","salvifolius",2
"357","La cuña",30,3,2015,4,8,"Lavandula","pedunculata",160
"358","La cuña",30,3,2015,4,10,"Lavandula","pedunculata",80
"359","Pinares de Hinojos",30,3,2015,4,1,"Leucojum ","autumnale",3
"360","Pinares de Hinojos",30,3,2015,4,1,"Erodium ","cicutarium",2
"361","Pinares de Hinojos",30,3,2015,4,7,"Cerinthe ","gymnandra",8
"362","Pinares de Hinojos",30,3,2015,4,7,"Leucojum ","autumnale",2
"363","Pinares de Hinojos",30,3,2015,4,8,"Spartium ","junceum",21
"364","Pinares de Hinojos",30,3,2015,4,9,"Spartium ","junceum",54
"365","Cotito de Santa Teresa",30,3,2015,4,1,"Ranunculus","sp",1
"366","Cotito de Santa Teresa",30,3,2015,4,1,"Echium","plantagineum",4
"367","Cotito de Santa Teresa",30,3,2015,4,2,"Ranunculus","sp",2
"368","Cotito de Santa Teresa",30,3,2015,4,2,"Lavandula","stoechas",60
"369","Cotito de Santa Teresa",30,3,2015,4,3,"Lavandula","stoechas",140
"370","Cotito de Santa Teresa",30,3,2015,4,3,"Cistus ","salvifolius",2
"371","Cotito de Santa Teresa",30,3,2015,4,4,"Lavandula","stoechas",80
"372","Cotito de Santa Teresa",30,3,2015,4,5,"Lavandula","stoechas",190
"373","Cotito de Santa Teresa",30,3,2015,4,5,"Cistus ","salvifolius",4
"374","Cotito de Santa Teresa",30,3,2015,4,6,"Lavandula","stoechas",180
"375","Cotito de Santa Teresa",30,3,2015,4,8,"Erodium ","cicutarium",6
"376","Cotito de Santa Teresa",30,3,2015,4,8,"Astragalus ","lusitanicus",15
"377","Cotito de Santa Teresa",30,3,2015,4,8,"Cistus ","salvifolius",2
"378","Cotito de Santa Teresa",30,3,2015,4,9,"Lavandula","stoechas",70
"379","Cotito de Santa Teresa",30,3,2015,4,10,"Lavandula","stoechas",870
"380","Cotito de Santa Teresa",30,3,2015,4,10,"Cistus ","salvifolius",3
"381","Cotito de Santa Teresa",30,3,2015,4,10,"Rosmarinus","officinalis",50
"382","La Rocina",30,3,2015,4,1,"Rosmarinus","officinalis",110
"383","La Rocina",30,3,2015,4,1,"Diplotaxis ","virgata",32
"384","La Rocina",30,3,2015,4,1,"Malcomia","lacera",3
"385","La Rocina",30,3,2015,4,2,"Spartium ","junceum",23
"386","La Rocina",30,3,2015,4,2,"Malcomia","lacera",1
