"","Site_ID","Round","Plant_gen_sp","Pollinator_gen_sp","Out","Pollinator_id","Pollinator_sex","Frequency"
"59","Lasmulas",2,"Cistus ladanifer","Eristalis similis","transect","BF432","male",3
"60","Lasmulas",2,"Cistus ladanifer","Anthophora hispanica","transect","BF603","female",4
"61","LaRocina",2,"Rosmarinus officinalis","Apis mellifera","transect","no_captured","worker",28
"62","LaRocina",2,"Rosmarinus officinalis","Bombus terrestris","transect","BF202","queen",2
"63","LaRocina",2,"Rosmarinus officinalis","Eristalis tenax","transect","no_captured",NA,2
"64","LaRocina",2,"Rosmarinus officinalis","Nomada fucata","transect","BF354","female",1
"65","LaCunya",2,"Rosmarinus officinalis","Anthophora dispar","transect","BF610","female",2
"66","LaCunya",2,"Ulex australis","Apis mellifera","transect","no_captured","worker",1
"67","LaCunya",2,"Halimium commutatum","Pieris brassicae","transect","no_captured",NA,3
"68","LaCunya",2,"Rosmarinus officinalis","Pieris brassicae","transect","no_captured",NA,1
"69","LaCunya",2,"Rosmarinus officinalis","Lasioglossum imminutus","transect","BF16","female",2
"70","LaCunya",2,"Rosmarinus officinalis","Bombus terrestris","transect","BF205","worker",6
"71","Esparragal",2,"Halimium commutatum","Apis mellifera","transect","no_captured","worker",3
"72","Esparragal",2,"Halimium commutatum","Lasioglossum malachurum","transect","BF29","female",1
"73","Niebla",2,"Asphodelus fistulosus","Apis mellifera","transect","no_captured","worker",6
"74","Niebla",2,"Astragalus lusitanicus","Anthophora sp","transect","no_captured",NA,3
"75","Niebla",2,"Astragalus lusitanicus","Apis mellifera","transect","no_captured","worker",4
"76","Niebla",2,"Asphodelus fistulosus","Platynochaetus setosus","transect","BF409","male",2
"77","Niebla",2,"Astragalus lusitanicus","Anthophora hispanica","transect","no_captured","male",2
"78","Bonares",2,"Halimium commutatum","Apis mellifera","transect","no_captured","worker",37
"79","Bonares",2,"Halimium commutatum","Bombus terrestris","transect","no_captured","queen",5
"80","Bonares",2,"Halimium commutatum","Eucera sp","transect","no_captured","female",2
"81","Bonares",2,"Halimium commutatum","Andrena nigroaenaea","transect","BF267","female",4
"82","Bonares",2,"Cistus salvifolius","Apis mellifera","transect","no_captured","worker",2
"83","Bonares",2,"Cistus ladanifer","Apis mellifera","transect","no_captured","worker",4
"84","ConventodelaLuz",2,"Rosmarinus officinalis","Anthophora retusa","transect","BF587","male",6
"85","ConventodelaLuz",2,"Cistus salvifolius","Apis mellifera","transect","no_captured","worker",5
"86","ConventodelaLuz",2,"Rosmarinus officinalis","Xylocopa cantabrita","transect","BF197","female",7
"87","ConventodelaLuz",2,"Cistus ladanifer","Apis mellifera","transect","no_captured","worker",14
"88","ConventodelaLuz",2,"Teucrium fruticans","Bombus terrestris","transect","no_captured","worker",3
"89","ConventodelaLuz",2,"Teucrium fruticans","Apis mellifera","transect","no_captured","worker",70
"90","Pinodelcuervo",2,"Rosmarinus officinalis","Apis mellifera","transect","no_captured","worker",2
"91","Pinodelcuervo",2,"Ulex australis","Apis mellifera","transect","no_captured","worker",6
"92","Pinodelcuervo",2,"Ulex australis","Xylocopa cantabrita","transect","no_captured",NA,2
"93","Pinodelcuervo",2,"Halimium commutatum","Apis mellifera","transect","no_captured","worker",2
"94","Pinodelcuervo",2,"Halimium commutatum","Xylocopa cantabrita","transect","BF195","male",4
"95","Elpozo",2,"Rosmarinus officinalis","Apis mellifera","transect","no_captured","worker",72
"96","Elpozo",2,"Erica scoparia","Apis mellifera","transect","no_captured","worker",11
"97","Elpozo",2,"Rosmarinus officinalis","Bombus terrestris","transect","no_captured","queen",2
"98","Elpinar",2,"Rosmarinus officinalis","Apis mellifera","transect","no_captured","worker",11
"99","Elpinar",2,"Rosmarinus officinalis","Eucera sp","transect","no_captured",NA,2
"100","Elpinar",2,"Rosmarinus officinalis","Ceratina cucurbitina","transect","BF182","male",5
"101","Elpinar",2,"Rosmarinus officinalis","Andrena nigroaenaea","transect","BF19","male",1
"102","Elpinar",2,"Rosmarinus officinalis","Xylocopa cantabrita","transect","BF198","female",9
"103","Elpinar",2,"Rosmarinus officinalis","Andrena ferrugineicrus","transect","BF28","female",1
"104","Elpinar",2,"Halimium commutatum","Platynochaetus setosus","transect","BF420","female",1
"105","Urbanizaciones",2,"Rosmarinus officinalis","Apis mellifera","transect","no_captured","worker",29
"106","Urbanizaciones",2,"Rosmarinus officinalis","Xylocopa cantabrita","transect","no_captured",NA,3
"107","Urbanizaciones",2,"Rosmarinus officinalis","Ceratina sp","transect","no_captured",NA,6
"108","Bonares",3,"Cistus salvifolius","Andrena rhyssonota","transect","BF273","female",7
"109","Bonares",3,"Lavandula stoechas","Apis mellifera","transect","no_captured","worker",26
"110","Bonares",3,"Halimium commutatum","Apis mellifera","transect","no_captured","worker",5
"111","Bonares",3,"Halimium commutatum","Platynochaetus setosus","transect","BF408","male",5
"112","Bonares",3,"Cistus salvifolius","Platynochaetus setosus","transect","no_captured",NA,2
"113","Bonares",3,"Cistus ladanifer","Apis mellifera","transect","no_captured","worker",3
"114","Niebla",3,"Asphodelus fistulosus","Anthophora dispar","transect","BF607","female",4
"115","Niebla",3,"Asphodelus fistulosus","Apis mellifera","transect","no_captured","worker",2
"116","Niebla",3,"Leontodon sp","Eucera notata","transect","BF562","male",5
"117","Niebla",3,"Astragalus lusitanicus","Anthophora hispanica","transect","BF596","female",2
"118","Niebla",3,"Astragalus lusitanicus","Anthophora hispanica","transect","BF600","male",5
"119","ConventodelaLuz",3,"Cistus salvifolius","Apis mellifera","transect","no_captured","worker",3
